INFO 2012-08-17 17:29:50,828 views 3084 940 Got file: "980u_3.jpg"
INFO 2012-08-17 17:29:50,831 views 3084 4032 Got file: "980u_3_1.jpg"
INFO 2012-08-17 17:29:50,828 views 3084 160 Got file: "980u_2_3_1.jpg"
INFO 2012-08-17 17:29:50,831 views 3084 3372 Got file: "980u_3_1_2.jpg"
INFO 2012-08-17 17:29:50,831 views 3084 1940 Got file: "980u_3_1_1_1.jpg"
INFO 2012-08-17 17:29:50,831 views 3084 5012 Got file: "980u_3_1_1.jpg"
INFO 2012-08-17 17:29:50,976 views 3084 3992 File saving done
INFO 2012-08-17 17:29:51,121 views 3084 3700 File saving done
INFO 2012-08-17 17:29:51,308 views 3084 3972 File saving done
INFO 2012-08-17 17:29:51,456 views 3084 3844 File saving done
INFO 2012-08-17 17:29:51,625 views 3084 3916 File saving done
INFO 2012-08-17 17:29:51,921 views 3084 1084 File saving done
INFO 2012-08-17 17:29:52,085 views 3084 1940 File saving done
INFO 2012-08-17 17:29:53,071 views 3084 2852 File saving done
INFO 2012-08-17 17:29:53,463 views 3084 3984 File saving done
INFO 2012-08-17 17:29:54,318 views 3084 1524 load_photo
INFO 2012-08-17 17:29:54,348 views 3084 1524 Got file: "980u_3_3.jpg"
INFO 2012-08-17 17:29:54,483 views 3084 1524 File saving done
INFO 2012-08-17 17:29:55,551 views 3084 2924 load_photo
INFO 2012-08-17 17:29:55,568 views 3084 2924 Got file: "980u_3_4.jpg"
INFO 2012-08-17 17:29:56,421 views 3084 2872 load_photo
INFO 2012-08-17 17:29:56,436 views 3084 2872 Got file: "980u_4.jpg"
INFO 2012-08-17 17:29:56,848 views 3084 2872 File saving done
INFO 2012-08-17 17:29:57,378 views 3084 3116 load_photo
INFO 2012-08-17 17:29:57,391 views 3084 3116 Got file: "980u_5.jpg"
ERROR 2012-08-17 17:29:57,440 views 3084 4572 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:29:57,483 views 3084 3200 load_photo
INFO 2012-08-17 17:29:57,552 views 3084 3200 Got file: "IMG_0515.JPG"
INFO 2012-08-17 17:29:57,811 views 3084 3796 load_photo
INFO 2012-08-17 17:29:57,851 views 3084 3796 Got file: "IMG_0515_1.JPG"
INFO 2012-08-17 17:29:58,105 views 3084 3796 File saving done
INFO 2012-08-17 17:29:58,581 views 3084 3200 File saving done
INFO 2012-08-17 17:29:59,375 views 3084 3632 load_photo
INFO 2012-08-17 17:29:59,395 views 3084 3632 Got file: "IMG_0515_1_1.JPG"
INFO 2012-08-17 17:30:00,125 views 3084 4660 load_photo
ERROR 2012-08-17 17:30:00,207 views 3084 1524 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:30:00,280 views 3084 4660 Got file: "IMG_0515_1_1_1.JPG"
INFO 2012-08-17 17:30:00,296 views 3084 4176 load_photo
INFO 2012-08-17 17:30:00,312 views 3084 4176 Got file: "IMG_0515_1_1_1_1.JPG"
ERROR 2012-08-17 17:30:00,798 views 3084 3984 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:30:00,901 views 3084 3632 File saving done
